"year","site","burrow_name","week","study_day","burrow_visit","tot_prey","prey_start","prey_end","bv_start","bv_end","prey_days","bv_days","capt_hist"
2008,"Double Bluff North","9",27,32,3,1,32,59,32,32,28,1,2
2008,"Forbes Point","0",27,34,0,0,NA,NA,NA,NA,NA,NA,3
2008,"Forbes Point","0",29,46,0,0,NA,NA,NA,NA,NA,NA,3
2008,"Forbes Point","0",26,27,0,0,NA,NA,NA,NA,NA,NA,3
2008,"Forbes Point","1",28,38,1,0,67,67,38,67,1,30,1
2008,"Forbes Point","1",32,67,3,2,67,67,38,67,1,30,2
2008,"Forbes Point","2",30,53,1,0,NA,NA,53,53,NA,1,1
2008,"Forbes Point","3",30,53,1,0,NA,NA,53,53,NA,1,1
2008,"Forbes Point","4",30,53,1,0,NA,NA,53,53,NA,1,1
2008,"Forbes Point","5",32,64,1,0,53,67,64,67,15,4,1
2008,"Forbes Point","5",32,67,1,2,53,67,64,67,15,4,2
2008,"Forbes Point","5",30,53,0,1,53,67,64,67,15,4,2
2008,"Forbes Point","6",32,67,0,2,67,67,NA,NA,1,NA,2
2008,"Forbes Point","7",32,67,0,1,67,67,NA,NA,1,NA,2
2008,"Fort Casey","1",30,50,1,0,NA,NA,50,50,NA,1,1
2008,"Fort Casey","2",30,50,2,0,NA,NA,50,50,NA,1,1
2008,"Fort Casey","3",30,50,1,0,NA,NA,50,50,NA,1,1
2008,"Fort Casey","4",30,55,1,0,NA,NA,55,55,NA,1,1
2008,"Fort Casey","ART",30,50,0,1,31,50,31,31,20,1,2
2008,"Fort Casey","ART",27,31,1,1,31,50,31,31,20,1,2
2008,"Fort Casey","CC",30,55,1,0,50,50,55,55,1,1,1
2008,"Fort Casey","CC",30,50,0,1,50,50,55,55,1,1,2
2008,"Fort Casey","LPC 1",30,55,0,1,55,55,NA,NA,1,NA,2
2008,"Fort Casey","LPC 2",30,55,0,1,55,55,NA,NA,1,NA,2
2008,"Fort Casey","SLC",28,38,0,1,38,38,NA,NA,1,NA,2
2008,"Fort Casey","TSC",28,38,0,1,38,38,NA,NA,1,NA,2
2008,"Hancock Lake","1",29,45,5,2,30,45,40,64,16,25,2
2008,"Hancock Lake","1",31,59,3,0,30,45,40,64,16,25,1
2008,"Hancock Lake","1",29,45,5,0,30,45,40,64,16,25,1
2008,"Hancock Lake","1",27,30,0,2,30,45,40,64,16,25,2
2008,"Hancock Lake","1",30,54,1,0,30,45,40,64,16,25,1
2008,"Hancock Lake","1",28,40,6,0,30,45,40,64,16,25,1
2008,"Hancock Lake","1",32,64,4,0,30,45,40,64,16,25,1
2008,"Hancock Lake","10",29,45,2,0,NA,NA,45,45,NA,1,1
2008,"Hancock Lake","10",29,45,2,0,NA,NA,45,45,NA,1,1
2008,"Hancock Lake","11",29,45,3,0,NA,NA,45,64,NA,20,1
2008,"Hancock Lake","11",29,45,3,0,NA,NA,45,64,NA,20,1
2008,"Hancock Lake","11",31,59,3,0,NA,NA,45,64,NA,20,1
2008,"Hancock Lake","11",32,64,8,0,NA,NA,45,64,NA,20,1
2008,"Hancock Lake","12",31,59,9,1,54,59,45,64,6,20,2
2008,"Hancock Lake","12",29,45,1,0,54,59,45,64,6,20,1
2008,"Hancock Lake","12",30,54,0,2,54,59,45,64,6,20,2
2008,"Hancock Lake","12",29,45,1,0,54,59,45,64,6,20,1
2008,"Hancock Lake","12",32,64,4,0,54,59,45,64,6,20,1
2008,"Hancock Lake","13",29,45,2,0,NA,NA,45,45,NA,1,1
2008,"Hancock Lake","13",29,45,2,0,NA,NA,45,45,NA,1,1
2008,"Hancock Lake","14",29,45,1,0,NA,NA,45,45,NA,1,1
2008,"Hancock Lake","14",29,45,1,0,NA,NA,45,45,NA,1,1
2008,"Hancock Lake","15",29,45,1,0,59,59,45,64,1,20,1
2008,"Hancock Lake","15",31,59,6,1,59,59,45,64,1,20,2
2008,"Hancock Lake","15",32,64,6,0,59,59,45,64,1,20,1
2008,"Hancock Lake","15",29,45,1,0,59,59,45,64,1,20,1
2008,"Hancock Lake","16",30,54,1,0,NA,NA,54,64,NA,11,1
2008,"Hancock Lake","16",32,64,5,0,NA,NA,54,64,NA,11,1
2008,"Hancock Lake","17",31,59,2,0,NA,NA,59,64,NA,6,1
2008,"Hancock Lake","17",32,64,2,0,NA,NA,59,64,NA,6,1
2008,"Hancock Lake","2",31,59,4,0,30,64,40,64,35,25,1
2008,"Hancock Lake","2",29,45,6,0,30,64,40,64,35,25,1
2008,"Hancock Lake","2",27,30,0,1,30,64,40,64,35,25,2
2008,"Hancock Lake","2",32,64,5,1,30,64,40,64,35,25,2
2008,"Hancock Lake","2",28,40,5,0,30,64,40,64,35,25,1
2008,"Hancock Lake","2",29,45,6,0,30,64,40,64,35,25,1
2008,"Hancock Lake","3",27,30,1,0,NA,NA,30,64,NA,35,1
2008,"Hancock Lake","3",32,64,3,0,NA,NA,30,64,NA,35,1
2008,"Hancock Lake","3",28,40,3,0,NA,NA,30,64,NA,35,1
2008,"Hancock Lake","4",31,59,3,0,45,45,40,64,1,25,1
2008,"Hancock Lake","4",28,40,3,0,45,45,40,64,1,25,1
2008,"Hancock Lake","4",29,45,3,0,45,45,40,64,1,25,1
2008,"Hancock Lake","4",30,54,1,0,45,45,40,64,1,25,1
2008,"Hancock Lake","4",29,45,3,1,45,45,40,64,1,25,2
2008,"Hancock Lake","4",32,64,2,0,45,45,40,64,1,25,1
2008,"Hancock Lake","5",28,40,6,0,59,59,40,64,1,25,1
2008,"Hancock Lake","5",29,45,3,0,59,59,40,64,1,25,1
2008,"Hancock Lake","5",31,59,5,1,59,59,40,64,1,25,2
2008,"Hancock Lake","5",32,64,4,0,59,59,40,64,1,25,1
2008,"Hancock Lake","5",29,45,2,0,59,59,40,64,1,25,1
2008,"Hancock Lake","6",29,45,8,0,64,64,40,64,1,25,1
2008,"Hancock Lake","6",31,59,15,0,64,64,40,64,1,25,1
2008,"Hancock Lake","6",28,40,5,0,64,64,40,64,1,25,1
2008,"Hancock Lake","6",29,45,8,0,64,64,40,64,1,25,1
2008,"Hancock Lake","6",32,64,6,1,64,64,40,64,1,25,2
2008,"Hancock Lake","7",31,59,4,1,59,59,40,64,1,25,2
2008,"Hancock Lake","7",29,45,2,0,59,59,40,64,1,25,1
2008,"Hancock Lake","7",32,64,8,0,59,59,40,64,1,25,1
2008,"Hancock Lake","7",28,40,2,0,59,59,40,64,1,25,1
2008,"Hancock Lake","7",29,45,2,0,59,59,40,64,1,25,1
2008,"Hancock Lake","8",31,59,2,1,45,59,45,64,15,20,2
2008,"Hancock Lake","8",30,54,1,0,45,59,45,64,15,20,1
2008,"Hancock Lake","8",29,45,5,2,45,59,45,64,15,20,2
2008,"Hancock Lake","8",29,45,5,2,45,59,45,64,15,20,2
2008,"Hancock Lake","8",32,64,14,0,45,59,45,64,15,20,1
2008,"Hancock Lake","9",31,59,1,0,45,45,45,64,1,20,1
2008,"Hancock Lake","9",32,64,4,0,45,45,45,64,1,20,1
2008,"Hancock Lake","9",29,45,4,1,45,45,45,64,1,20,2
2008,"Hancock Lake","9",29,45,4,1,45,45,45,64,1,20,2
2008,"Hancock Lake","A",28,39,1,0,NA,NA,39,39,NA,1,1
2008,"Hancock Lake","C",31,60,0,1,60,60,NA,NA,1,NA,2
2008,"Hancock Lake","D",29,45,1,0,NA,NA,39,45,NA,7,1
2008,"Hancock Lake","D",28,39,1,0,NA,NA,39,45,NA,7,1
2008,"Hancock Lake","E",29,45,1,0,NA,NA,45,45,NA,1,1
2008,"Hancock Lake","H",31,60,0,1,60,60,NA,NA,1,NA,2
2008,"Hancock Lake","J",28,39,1,1,39,39,39,39,1,1,2
2008,"Hancock Lake","K",29,45,1,0,NA,NA,45,45,NA,1,1
2008,"Hancock Lake","L",31,60,1,2,60,60,60,60,1,1,2
2008,"Harrington North","1",30,54,0,3,47,54,NA,NA,8,NA,2
2008,"Harrington North","1",29,47,0,2,47,54,NA,NA,8,NA,2
2008,"Harrington North","2",28,38,0,3,38,54,NA,NA,17,NA,2
2008,"Harrington North","2",30,54,0,3,38,54,NA,NA,17,NA,2
2008,"Harrington North","3",29,47,0,1,38,47,NA,NA,10,NA,2
2008,"Harrington North","3",28,38,0,2,38,47,NA,NA,10,NA,2
2008,"Harrington North","4",30,54,1,1,38,54,54,54,17,1,2
2008,"Harrington North","4",28,38,0,4,38,54,54,54,17,1,2
2008,"Harrington North","4",29,47,0,2,38,54,54,54,17,1,2
2008,"Harrington North","5",30,54,0,1,47,54,NA,NA,8,NA,2
2008,"Harrington North","5",29,47,0,1,47,54,NA,NA,8,NA,2
2008,"Harrington North","6",30,54,0,3,54,54,NA,NA,1,NA,2
2008,"Harrington North","7",29,47,0,1,47,54,NA,NA,8,NA,2
2008,"Harrington North","7",30,54,0,1,47,54,NA,NA,8,NA,2
2008,"Harrington North","A ",26,23,0,2,23,23,NA,NA,1,NA,2
2008,"Harrington North","B",26,23,0,1,23,23,NA,NA,1,NA,2
2008,"Harrington North","C",27,32,0,1,32,32,NA,NA,1,NA,2
2008,"Harrington North","C ",26,23,1,0,NA,NA,23,23,NA,1,1
2008,"Harrington North","D",27,32,0,1,32,32,NA,NA,1,NA,2
2008,"Harrington North","E",27,32,0,2,32,32,NA,NA,1,NA,2
2008,"Harrington South","B",29,47,0,1,47,47,NA,NA,1,NA,2
2008,"Harrington South","D",31,59,3,1,40,59,54,59,20,6,2
2008,"Harrington South","D",28,40,0,1,40,59,54,59,20,6,2
2008,"Harrington South","D",29,47,0,1,40,59,54,59,20,6,2
2008,"Harrington South","D",30,54,1,3,40,59,54,59,20,6,2
2008,"Harrington South","G",29,47,0,1,47,47,59,59,1,1,2
2008,"Harrington South","G",31,59,4,0,47,47,59,59,1,1,1
2008,"Harrington South","H",29,47,2,2,23,47,23,59,25,37,2
2008,"Harrington South","H",31,59,5,0,23,47,23,59,25,37,1
2008,"Harrington South","H",26,23,1,1,23,47,23,59,25,37,2
2008,"Harrington South","H",28,40,0,1,23,47,23,59,25,37,2
2008,"Harrington South","I",28,40,1,1,40,40,40,40,1,1,2
2008,"Harrington South","J",27,31,1,0,NA,NA,31,31,NA,1,1
2008,"Harrington South","K",31,59,4,0,NA,NA,59,59,NA,1,1
2008,"Harrington South","L",29,47,2,4,31,54,47,54,24,8,2
2008,"Harrington South","L",27,31,0,1,31,54,47,54,24,8,2
2008,"Harrington South","L",28,40,0,2,31,54,47,54,24,8,2
2008,"Harrington South","L",30,54,1,4,31,54,47,54,24,8,2
2008,"Harrington South","M",29,47,2,0,NA,NA,47,47,NA,1,1
2008,"Harrington South","N",28,40,0,1,40,59,59,59,20,1,2
2008,"Harrington South","N",31,59,5,3,40,59,59,59,20,1,2
2008,"Harrington South","N",30,54,0,1,40,59,59,59,20,1,2
2008,"Hastie Lake","1",26,28,0,1,28,28,NA,NA,1,NA,2
2008,"Hastie Lake","2",28,41,1,0,35,52,41,52,18,12,1
2008,"Hastie Lake","2",27,35,0,1,35,52,41,52,18,12,2
2008,"Hastie Lake","2",30,52,1,1,35,52,41,52,18,12,2
2008,"Hastie Lake","2",29,45,1,0,35,52,41,52,18,12,1
2008,"Hastie Lake","3",27,35,2,0,NA,NA,35,35,NA,1,1
2008,"Keystone","1",28,41,0,3,35,41,NA,NA,7,NA,2
2008,"Keystone","1",27,35,0,1,35,41,NA,NA,7,NA,2
2008,"Keystone","2",31,63,0,1,28,63,NA,NA,36,NA,2
2008,"Keystone","2",30,56,0,3,28,63,NA,NA,36,NA,2
2008,"Keystone","2",27,35,0,2,28,63,NA,NA,36,NA,2
2008,"Keystone","2",26,28,0,1,28,63,NA,NA,36,NA,2
2008,"Keystone","2",29,48,0,1,28,63,NA,NA,36,NA,2
2008,"Keystone","3",27,35,0,1,35,77,NA,NA,43,NA,2
2008,"Keystone","3",29,48,0,1,35,77,NA,NA,43,NA,2
2008,"Keystone","3",32,70,0,6,35,77,NA,NA,43,NA,2
2008,"Keystone","3",33,77,0,7,35,77,NA,NA,43,NA,2
2008,"Keystone","3",31,63,0,1,35,77,NA,NA,43,NA,2
2008,"Keystone","3",30,56,0,9,35,77,NA,NA,43,NA,2
2008,"Keystone","4",27,35,0,1,35,70,NA,NA,36,NA,2
2008,"Keystone","4",29,48,0,1,35,70,NA,NA,36,NA,2
2008,"Keystone","4",28,41,0,3,35,70,NA,NA,36,NA,2
2008,"Keystone","4",32,70,0,3,35,70,NA,NA,36,NA,2
2008,"Keystone","5",28,41,0,3,41,41,NA,NA,1,NA,2
2008,"Keystone","6",29,48,0,2,48,70,NA,NA,23,NA,2
2008,"Keystone","6",31,63,0,1,48,70,NA,NA,23,NA,2
2008,"Keystone","6",32,70,0,2,48,70,NA,NA,23,NA,2
2008,"Lagoon North #1","1",32,70,0,1,70,70,28,63,1,36,2
2008,"Lagoon North #1","1",29,49,3,0,70,70,28,63,1,36,1
2008,"Lagoon North #1","1",30,56,4,0,70,70,28,63,1,36,1
2008,"Lagoon North #1","1",26,28,1,0,70,70,28,63,1,36,1
2008,"Lagoon North #1","1",31,63,1,0,70,70,28,63,1,36,1
2008,"Lagoon North #1","2",29,49,0,2,28,63,28,63,36,36,2
2008,"Lagoon North #1","2",30,56,2,0,28,63,28,63,36,36,1
2008,"Lagoon North #1","2",26,28,4,4,28,63,28,63,36,36,2
2008,"Lagoon North #1","2",29,43,4,0,28,63,28,63,36,36,1
2008,"Lagoon North #1","2",31,63,5,3,28,63,28,63,36,36,2
2008,"Lagoon North #1","3",29,43,3,0,NA,NA,43,43,NA,1,1
2008,"Lagoon North #1","4",31,63,3,2,63,63,43,63,1,21,2
2008,"Lagoon North #1","4",30,56,4,0,63,63,43,63,1,21,1
2008,"Lagoon North #1","4",29,43,4,0,63,63,43,63,1,21,1
2008,"Lagoon North #1","4",29,49,6,0,63,63,43,63,1,21,1
2008,"Lagoon North #2","2",26,28,0,4,28,28,28,28,1,1,2
2008,"Lagoon North #2","2",26,28,3,0,28,28,28,28,1,1,1
2008,"Lagoon North #2","3",26,28,2,0,NA,NA,28,28,NA,1,1
2008,"Lagoon North #3","1",29,49,4,0,56,56,28,63,1,36,1
2008,"Lagoon North #3","1",26,28,1,0,56,56,28,63,1,36,1
2008,"Lagoon North #3","1",31,63,2,0,56,56,28,63,1,36,1
2008,"Lagoon North #3","1",27,35,1,0,56,56,28,63,1,36,1
2008,"Lagoon North #3","1",31,63,1,0,56,56,28,63,1,36,1
2008,"Lagoon North #3","1",30,56,2,1,56,56,28,63,1,36,2
2008,"Lagoon North #3","2",31,63,5,3,49,63,49,63,15,15,2
2008,"Lagoon North #3","2",29,49,1,1,49,63,49,63,15,15,2
2008,"Lagoon North #3","2",31,63,1,1,49,63,49,63,15,15,2
2008,"Lagoon North #3","3",31,63,1,1,49,70,63,70,22,8,2
2008,"Lagoon North #3","3",32,70,1,1,49,70,63,70,22,8,2
2008,"Lagoon North #3","3",29,49,0,2,49,70,63,70,22,8,2
2008,"Lagoon North #3","4",31,63,3,2,63,63,63,63,1,1,2
2008,"Lagoon North #3","5",30,56,1,0,NA,NA,56,56,NA,1,1
2008,"Lagoon North #3","6",32,70,3,3,56,70,56,70,15,15,2
2008,"Lagoon North #3","6",30,56,5,1,56,70,56,70,15,15,2
2008,"Lagoon North #3","7",30,56,5,0,NA,NA,56,56,NA,1,1
2008,"Lagoon North #3","8",30,56,5,0,NA,NA,56,56,NA,1,1
2008,"Lagoon South","A",28,39,1,0,45,52,31,52,8,22,1
2008,"Lagoon South","A",29,45,2,2,45,52,31,52,8,22,2
2008,"Lagoon South","A",27,31,1,0,45,52,31,52,8,22,1
2008,"Lagoon South","A",30,52,6,2,45,52,31,52,8,22,2
2008,"Lagoon South","B",31,59,2,1,45,59,39,59,15,21,2
2008,"Lagoon South","B",29,45,2,2,45,59,39,59,15,21,2
2008,"Lagoon South","B",28,39,1,0,45,59,39,59,15,21,1
2008,"Lagoon South","B",32,66,0,0,45,59,39,59,15,21,3
2008,"Lagoon South","B",30,52,4,1,45,59,39,59,15,21,2
2008,"Lagoon South","C",30,52,1,1,52,52,52,52,1,1,2
2008,"Lagoon South","D",30,52,7,2,45,66,45,59,22,15,2
2008,"Lagoon South","D",29,45,3,3,45,66,45,59,22,15,2
2008,"Lagoon South","D",31,59,1,1,45,66,45,59,22,15,2
2008,"Lagoon South","D",32,66,0,4,45,66,45,59,22,15,2
2008,"Lagoon South","E",30,52,6,1,45,66,45,66,22,22,2
2008,"Lagoon South","E",31,59,2,1,45,66,45,66,22,22,2
2008,"Lagoon South","E",32,66,2,4,45,66,45,66,22,22,2
2008,"Lagoon South","E",29,45,1,1,45,66,45,66,22,22,2
2008,"Lagoon South","F",30,52,1,1,52,52,52,52,1,1,2
2008,"Lagoon South","X",32,66,4,0,NA,NA,66,66,NA,1,1
2008,"Lagoon South","Y",32,66,5,0,NA,NA,66,66,NA,1,1
2008,"Ledgewood","1",29,44,1,1,26,54,26,62,29,37,2
2008,"Ledgewood","1",30,54,1,1,26,54,26,62,29,37,2
2008,"Ledgewood","1",26,26,1,1,26,54,26,62,29,37,2
2008,"Ledgewood","1",31,62,2,0,26,54,26,62,29,37,1
2008,"Ledgewood","10",29,44,2,2,44,69,40,69,26,30,2
2008,"Ledgewood","10",31,62,3,1,44,69,40,69,26,30,2
2008,"Ledgewood","10",28,40,1,0,44,69,40,69,26,30,1
2008,"Ledgewood","10",30,54,3,1,44,69,40,69,26,30,2
2008,"Ledgewood","10",32,69,1,1,44,69,40,69,26,30,2
2008,"Ledgewood","11",30,54,2,0,NA,NA,40,62,NA,23,1
2008,"Ledgewood","11",28,40,2,0,NA,NA,40,62,NA,23,1
2008,"Ledgewood","11",31,62,2,0,NA,NA,40,62,NA,23,1
2008,"Ledgewood","12",32,69,1,1,69,69,54,69,1,16,2
2008,"Ledgewood","12",30,54,2,0,69,69,54,69,1,16,1
2008,"Ledgewood","12",31,62,1,0,69,69,54,69,1,16,1
2008,"Ledgewood","13",32,69,1,1,62,69,62,69,8,8,2
2008,"Ledgewood","13",31,62,2,2,62,69,62,69,8,8,2
2008,"Ledgewood","14",33,74,1,1,74,74,74,74,1,1,2
2008,"Ledgewood","2",29,44,1,1,44,69,40,69,26,30,2
2008,"Ledgewood","2",31,62,3,0,44,69,40,69,26,30,1
2008,"Ledgewood","2",31,59,2,1,44,69,40,69,26,30,2
2008,"Ledgewood","2",32,69,2,1,44,69,40,69,26,30,2
2008,"Ledgewood","2",28,40,2,0,44,69,40,69,26,30,1
2008,"Ledgewood","2",30,54,1,2,44,69,40,69,26,30,2
2008,"Ledgewood","3",28,40,4,2,40,69,40,69,30,30,2
2008,"Ledgewood","3",30,54,3,2,40,69,40,69,30,30,2
2008,"Ledgewood","3",32,69,3,1,40,69,40,69,30,30,2
2008,"Ledgewood","3",31,59,2,2,40,69,40,69,30,30,2
2008,"Ledgewood","3",31,62,3,0,40,69,40,69,30,30,1
2008,"Ledgewood","4",27,32,1,0,44,69,32,69,26,38,1
2008,"Ledgewood","4",31,62,4,0,44,69,32,69,26,38,1
2008,"Ledgewood","4",32,69,5,2,44,69,32,69,26,38,2
2008,"Ledgewood","4",31,59,6,1,44,69,32,69,26,38,2
2008,"Ledgewood","4",28,40,2,0,44,69,32,69,26,38,1
2008,"Ledgewood","4",29,44,2,2,44,69,32,69,26,38,2
2008,"Ledgewood","4",30,54,6,1,44,69,32,69,26,38,2
2008,"Ledgewood","5",31,62,5,0,NA,NA,40,69,NA,30,1
2008,"Ledgewood","5",28,40,2,0,NA,NA,40,69,NA,30,1
2008,"Ledgewood","5",32,69,2,0,NA,NA,40,69,NA,30,1
2008,"Ledgewood","6",27,32,1,0,40,40,32,40,1,9,1
2008,"Ledgewood","6",28,40,3,1,40,40,32,40,1,9,2
2008,"Ledgewood","7",29,44,2,2,44,69,32,69,26,38,2
2008,"Ledgewood","7",27,32,1,0,44,69,32,69,26,38,1
2008,"Ledgewood","7",30,54,1,1,44,69,32,69,26,38,2
2008,"Ledgewood","7",32,69,3,2,44,69,32,69,26,38,2
2008,"Ledgewood","7",31,62,1,1,44,69,32,69,26,38,2
2008,"Ledgewood","7",28,40,4,0,44,69,32,69,26,38,1
2008,"Ledgewood","8",30,54,3,3,40,69,40,69,30,30,2
2008,"Ledgewood","8",28,40,2,1,40,69,40,69,30,30,2
2008,"Ledgewood","8",32,69,1,1,40,69,40,69,30,30,2
2008,"Ledgewood","8",31,62,2,0,40,69,40,69,30,30,1
2008,"Ledgewood","8",29,44,2,0,40,69,40,69,30,30,1
2008,"Ledgewood","9",28,40,6,1,40,74,40,74,35,35,2
2008,"Ledgewood","9",29,44,1,1,40,74,40,74,35,35,2
2008,"Ledgewood","9",31,62,4,0,40,74,40,74,35,35,1
2008,"Ledgewood","9",32,69,3,3,40,74,40,74,35,35,2
2008,"Ledgewood","9",30,54,2,4,40,74,40,74,35,35,2
2008,"Ledgewood","9",33,74,1,1,40,74,40,74,35,35,2
2008,"Limpet Lane","1",30,50,2,1,38,67,50,50,30,1,2
2008,"Limpet Lane","1",31,57,0,2,38,67,50,50,30,1,2
2008,"Limpet Lane","1",28,38,0,2,38,67,50,50,30,1,2
2008,"Limpet Lane","1",32,67,0,4,38,67,50,50,30,1,2
2008,"Limpet Lane","1",29,43,0,2,38,67,50,50,30,1,2
