"year","site","burrow_name","study_day","burrow_visit","tot_prey","prey_start","prey_end","bv_start","bv_end","prey_days","bv_days","capt_hist"
2008,"Forbes Point","1",38,1,0,67,67,38,67,1,30,1
2008,"Forbes Point","1",67,3,2,67,67,38,67,1,30,2
2008,"Forbes Point","2",53,1,0,NA,NA,53,53,NA,1,3
2008,"Forbes Point","3",53,1,0,NA,NA,53,53,NA,1,3
2008,"Forbes Point","4",53,1,0,NA,NA,53,53,NA,1,3
2008,"Forbes Point","5",64,1,0,53,67,64,67,15,4,3
2008,"Forbes Point","5",67,1,2,53,67,64,67,15,4,2
2008,"Forbes Point","5",53,0,1,53,67,64,67,15,4,2
2008,"Forbes Point","6",67,0,2,67,67,NA,NA,1,NA,2
2008,"Forbes Point","7",67,0,1,67,67,NA,NA,1,NA,2
2008,"Fort Casey","1",50,1,0,NA,NA,50,50,NA,1,3
2008,"Fort Casey","2",50,2,0,NA,NA,50,50,NA,1,3
2008,"Fort Casey","3",50,1,0,NA,NA,50,50,NA,1,3
2008,"Fort Casey","4",55,1,0,NA,NA,55,55,NA,1,3
2008,"Fort Casey","ART",50,0,1,31,50,31,31,20,1,2
2008,"Fort Casey","ART",31,1,1,31,50,31,31,20,1,2
2008,"Fort Casey","CC",55,1,0,50,50,55,55,1,1,3
2008,"Fort Casey","CC",50,0,1,50,50,55,55,1,1,2
2008,"Fort Casey","LPC 1",55,0,1,55,55,NA,NA,1,NA,2
2008,"Fort Casey","LPC 2",55,0,1,55,55,NA,NA,1,NA,2
2008,"Fort Casey","SLC",38,0,1,38,38,NA,NA,1,NA,2
2008,"Fort Casey","TSC",38,0,1,38,38,NA,NA,1,NA,2
2008,"Hancock Lake","1",45,5,2,30,45,40,64,16,25,2
2008,"Hancock Lake","1",59,3,0,30,45,40,64,16,25,3
2008,"Hancock Lake","1",45,5,0,30,45,40,64,16,25,3
2008,"Hancock Lake","1",30,0,2,30,45,40,64,16,25,2
2008,"Hancock Lake","1",54,1,0,30,45,40,64,16,25,3
2008,"Hancock Lake","1",40,6,0,30,45,40,64,16,25,3
2008,"Hancock Lake","1",64,4,0,30,45,40,64,16,25,3
2008,"Hancock Lake","10",45,2,0,NA,NA,45,45,NA,1,3
2008,"Hancock Lake","10",45,2,0,NA,NA,45,45,NA,1,3
2008,"Hancock Lake","11",45,3,0,NA,NA,45,64,NA,20,3
2008,"Hancock Lake","11",45,3,0,NA,NA,45,64,NA,20,3
2008,"Hancock Lake","11",59,3,0,NA,NA,45,64,NA,20,3
2008,"Hancock Lake","11",64,8,0,NA,NA,45,64,NA,20,3
