site,ymd,start_time,pg_count,count_type,internOnly,week,site_id,visit_id
Ketron SE,6/2/17,6:50,16,pg,,22,14,619
Ketron SW,6/2/17,8,27,pg,,22,15,620
Mill Bight B,6/5/17,7:45,10,pg,,23,34,621
Mill Bight A,6/5/17,7:50,5,pg,,23,30,622
Burfoot Park,6/6/17,7:45,8,pg,,23,6,624
Zangle Cove A,6/5/17,8:00,2,pg,,23,9,625
Ketron SE,6/7/17,6:40,5,pg,,23,14,628
Ketron SW,6/7/17,7:55,16,pg,,23,15,629
Hope Island NE,6/3/17,7:25,2,pg,,22,46,630
Walnut Rd C,6/8/17,8:00,31,pg,,23,32,631
Young's Cove D,6/6/17,7:15,5,pg,,23,23,632
Young's Cove C,6/6/17,7:00,6,pg,,23,22,633
Butterball Cove South A,6/10/17,7:55,15,pg,,23,11,634
Hope Island NE,6/10/17,7:20,2,pg,,23,46,635
Walnut Rd B,6/8/17,8:00,31,pg,,23,31,636
Young's Cove A,6/9/17,7:50,4,pg,,23,2,638
Burfoot Park,6/13/17,7:50,5,pg,,24,6,639
Young's Cove C,6/13/17,7:00,4,pg,,24,22,640
Young's Cove D,6/13/17,7:00,10,pg,,24,23,641
Briscoe Pt,6/11/17,8:00,14,pg,,23,37,642
Young's Cove E,6/9/17,7:50,6,pg,,23,24,643
Ketron SE,6/14/17,6:25,14,pg,,24,14,644
Ketron SW,6/14/17,7:40,32,pg,,24,15,645
Hearthfire,6/9/17,6:05,3,pg,,23,41,646
Hearthfire,6/16/17,5:50,8,pg,,24,41,649
Hope Island NE,6/16/17,7:20,3,pg,,24,46,650
Young's Cove E,6/16/17,7:45,14,pg,,24,24,651
Flapjack,6/9/17,7:57,9,pg,,23,10,652
Butterball Cove South A,6/17/17,7:55,13,pg,,24,11,653
Zangle Cove B,6/18/17,7:30,4,pg,,24,44,654
Young's Cove B,6/16/17,7:45,6,pg,,24,21,656
Young's Cove F,6/9/17,7:50,3,pg,,23,25,657
Walnut Rd B,6/16/17,8:00,21,pg,,24,31,658
Walnut Rd C,6/16/17,8:00,21,pg,,24,32,659
Zangle Cove C,6/18/17,7:30,8,pg,,24,45,660
Mill Bight B,6/16/17,7:30,14,pg,,24,34,661
Mill Bight B,6/19/17,7:30,8,pg,,25,34,662
Mill Bight A,6/16/17,7:30,11,pg,,24,30,663
Mill Bight A,6/19/17,7:30,9,pg,,25,30,664
Burfoot Park,6/20/17,7:45,12,pg,,25,6,665
Young's Cove D,6/20/17,8:00,1,pg,,25,23,666
Young's Cove C,6/20/17,6:45,1,pg,,25,22,667
Young's Cove F,6/16/17,7:35,3,pg,,24,25,668
Briscoe Pt,6/18/17,8:00,15,pg,,24,37,669
Zangle Cove B,6/23/17,8:00,2,pg,,25,44,670
Walnut Rd B,6/22/17,8:00,21,pg,,25,31,671
Young's Cove A,6/23/17,8:00,6,pg,,25,2,672
Walnut Rd C,6/22/17,8:00,21,pg,,25,32,673
Ketron SE,6/23/17,630,6,pg,,25,14,675
Ketron SW,6/23/17,7:45,26,pg,,25,15,676
Young's Cove F,6/24/17,7:40,3,pg,,25,25,677
Butterball Cove South A,6/24/17,8:00,14,pg,,25,11,678
Young's Cove E,6/23/17,8:00,4,pg,,25,24,679
Flapjack,6/23/17,8:00,6,pg,,25,10,680
Butterball North,6/4/17,8:00,10,pg,,22,35,681
Butterball North,6/11/17,7:57,10,pg,,23,35,682
Briscoe Pt,6/24/17,8:00,12,pg,,25,37,683
Totten@Elizan B ,6/29/17,7:05,3,pg,,26,27,684
Totten@Elizan C,6/29/17,7:05,3,pg,,26,28,685
Mill Bight B,6/29/17,6:05,6,pg,,26,34,686
Ketron SE,6/28/17,7:50,8,pg,,26,14,687
Ketron SW,6/28/17,6:35,26,pg,,26,15,688
Butterball North,6/7/17,720,9,pg,,23,35,689
Butterball North,6/14/17,720,11,pg,,24,35,690
Butterball North,6/21/17,7:15,7,pg,,25,35,691
Butterball North,6/29/17,710,9,pg,,26,35,692
Hope Island NE,6/30/17,7:20,3,pg,,26,46,693
Young's Cove E,6/30/17,7:42,5,pg,,26,24,694
Hearthfire,6/30/17,7:30,5,pg,,26,41,695
Young's Cove C,6/29/17,7:10,4,pg,,26,22,696
Young's Cove D,6/29/17,7:10,1,pg,,26,23,697
Burfoot Park,6/27/17,7:45,14,pg,,26,6,698
Butterball Cove South A,7/1/17,8:00,17,pg,,26,11,699
Zangle Cove A,7/2/17,7:55,3,pg,,26,9,700
Zangle Cove B,7/1/17,730,2,pg,,26,44,701
Young's Cove F,6/30/17,7:37,4,pg,,26,25,703
Young's Cove D,7/4/17,7:09,2,pg,,27,23,704
Young's Cove C,7/4/17,7:06,1,pg,,27,22,705
Burfoot Park,7/5/17,7:50,6,pg,,27,6,706
Higgins Cove,6/29/17,5:50,5,pg,,26,7,707
Young's Cove B,6/23/17,6:45,5,pg,,25,21,708
Totten@Elizan A North,6/28/17,7:15,1,pg,,26,40,709
Lyle Point,6/22/17,7:50,14,pg,,25,8,710
Higgins Cove,6/21/17,5:50,8,pg,,25,7,711
Big Fish Trap,6/20/17,6:00,5,pg,,25,5,712
Totten@Elizan A North,6/22/17,7:17,3,pg,,25,40,713
Higgins Cove,6/16/17,6:00,8,pg,,24,7,714
Lyle Point,7/6/17,8:00,17,pg,,27,8,715
Big Fish Trap,7/5/17,730,5,pg,,27,5,716
Higgins Cove,6/7/17,6:00,12,pg,,23,7,717
Zangle Cove A,6/18/17,7:30,6,pg,,24,9,718
