siteName,visitId,ymd,week,internOnly,burrow,prey,visits
Shore Meadows,1205,6/11/18,24,,b.1,noprey,1
Shore Meadows,1205,6/11/18,24,,b.31,noprey,1
Shore Meadows,1205,6/11/18,24,,b.32,noprey,1
Shore Meadows,1205,6/11/18,24,,b.33,noprey,1
Lagoon Point South,1208,6/12/18,24,,b.3A,noprey,3
Lagoon Point South,1208,6/12/18,24,,b.3B,noprey,1
Lagoon Point South,1208,6/12/18,24,,b.3C,noprey,1
Lagoon Point South,1208,6/12/18,24,,b.4A,noprey,1
Lagoon Point South,1208,6/12/18,24,,b.4B,noprey,2
Lagoon Point South,1208,6/12/18,24,,b.4C,noprey,2
Lagoon Point South,1208,6/12/18,24,,b.4D,noprey,1
Lagoon Point South,1208,6/12/18,24,,b.4E,noprey,2
Lagoon Point South,1208,6/12/18,24,,b.4F,noprey,1
Lagoon Point South,1208,6/12/18,24,,b.4G,noprey,2
Lagoon Point South,1208,6/12/18,24,,b.4H,noprey,2
Lagoon Point South,1208,6/12/18,24,,b.3D,noprey,1
Lagoon Point South,1208,6/12/18,24,,b.3E,noprey,1
Lagoon North #1,1211,6/12/18,24,,b.1,noprey,3
Lake Hancock North,1212,6/14/18,24,,b.3,noprey,3
Lake Hancock North,1212,6/14/18,24,,b.4,noprey,1
Lake Hancock North,1212,6/14/18,24,,b.5,noprey,4
Lake Hancock North,1212,6/14/18,24,,b.8,noprey,2
Lake Hancock North,1212,6/14/18,24,,b.2,noprey,4
Lake Hancock North,1212,6/14/18,24,,b.10,noprey,2
Lake Hancock North,1212,6/14/18,24,,b.11,noprey,3
Lake Hancock North,1212,6/14/18,24,,b.12,noprey,2
Lake Hancock North,1212,6/14/18,24,,b.14,noprey,1
Lake Hancock North,1212,6/14/18,24,,b.15,noprey,2
Lake Hancock North,1212,6/14/18,24,,b.17,noprey,2
Lake Hancock North,1212,6/14/18,24,,b.18,noprey,2
Lake Hancock North,1212,6/14/18,24,,b.20,noprey,6
Bush Point Dock,1213,6/14/18,24,,b.1,noprey,2
Harrington South,1215,6/15/18,24,,b.7,noprey,1
Fort Casey North,1217,6/16/18,24,,b.21,noprey,1
Coupeville Wharf,1218,6/17/18,24,,b.1,noprey,1
Coupeville Wharf,1218,6/17/18,24,,b.2,noprey,1
Forbes Point,1222,6/16/18,24,,b.1,noprey,1
Lagoon Point South,1224,6/19/18,25,,b.2A,noprey,1
Lagoon Point South,1224,6/19/18,25,,b.3A,noprey,1
Lagoon Point South,1224,6/19/18,25,,b.4C,noprey,2
Lagoon Point South,1224,6/19/18,25,,b.4F,noprey,2
Rolling Hills #1,1225,6/19/18,25,,b.3,gunnels,1
Rolling Hills #1,1225,6/19/18,25,,b.8,gunnels,2
Rolling Hills #1,1225,6/19/18,25,,b.8,other,1
Rolling Hills #1,1225,6/19/18,25,,b.27a,gunnels,1
Rolling Hills #1,1225,6/19/18,25,,b.31a,other,1
Rolling Hills #1,1225,6/19/18,25,,b.33,gunnels,1
Rolling Hills #1,1226,6/12/18,24,,b.10,noprey,1
Rolling Hills #1,1226,6/12/18,24,,b.31a,gunnels,1
Rolling Hills #1,1226,6/12/18,24,,b.33,gunnels,1
Malmo Bluff,1228,6/19/18,25,,b.30,noprey,1
Malmo Bluff,1228,6/19/18,25,,b.13,noprey,1
Malmo Bluff,1228,6/19/18,25,,b.17,noprey,1
Malmo Bluff,1228,6/19/18,25,,b.16,noprey,1
Malmo Bluff,1228,6/19/18,25,,b.26,noprey,1
Malmo Bluff,1228,6/19/18,25,,b.31,noprey,1
Hastie Lake South,1229,6/16/18,24,,b.1,noprey,1
Hastie Lake South,1229,6/16/18,24,,b.2,noprey,2
Shore Meadows,1231,6/18/18,25,,b.1,noprey,2
Shore Meadows,1231,6/18/18,25,,b.31,noprey,1
Shore Meadows,1231,6/18/18,25,,b.61,noprey,1
Shore Meadows,1231,6/18/18,25,,b.62,noprey,1
Hastie Lake South,1234,6/20/18,25,,b.2,noprey,1
Hastie Lake South,1234,6/20/18,25,,b.3,noprey,1
Hastie Lake South,1234,6/20/18,25,,b.4,noprey,1
Hastie Lake South,1234,6/20/18,25,,b.11,noprey,1
Hastie Lake South,1234,6/20/18,25,,b.12,noprey,1
Harrington North,1235,6/14/18,24,,b.13,noprey,1
Clinton Ferry Dock,1236,6/13/18,24,,b.1,noprey,1
Clinton Ferry Dock,1236,6/13/18,24,,b.1,gunnels,1
Clinton Ferry Dock,1236,6/13/18,24,,b.2,noprey,2
Clinton Ferry Dock,1236,6/13/18,24,,b.5,noprey,1
Clinton Ferry Dock,1236,6/13/18,24,,b.4,noprey,2
Limpet Lane,1239,6/13/18,24,,b.srm,noprey,4
Swantown,1240,6/15/18,24,,b.1,noprey,1
