site,ymd,start_time,pg_count,count_type,internOnly
Double Bluff South,6/23/16,8:00,3,pg,
Mutiny Sands,6/23/16,7:40,27,pg,
Lagoon Point South,6/23/16,7:15,32,pg,
Malmo Bluff,6/23/16,7:45,23,pg,
Mutiny Sands- INTERN,6/21/16,6:00,39,pg,on
Mutiny Sands- INTERN,6/23/16,6:00,32,pg,on
Pratts Bluff- INTERN,6/20/16,6:00,33,pg,on
Pratts Bluff- INTERN,6/22/16,6:00,28,pg,on
Limpet Lane,6/22/16,735,35,pg,
Lagoon North #1,6/23/16,7:50,73,pg,
Shore Meadows,6/24/16,700,65,pg,
Libby North/Sierra,6/24/16,6:35,9,pg,
Forbes Point,6/11/16,7:25,19,pg,
Forbes Point,6/18/16,7:24,13,pg,
Forbes Point,6/23/16,7:15,16,pg,
Monroe Landing,6/20/16,650,6,pg,
Clinton Ferry Dock,6/16/16,8:30,15,pg,
Clinton Ferry Dock,6/17/16,8:15,6,pg,
Clinton Ferry Dock,6/24/16,8:00,7,pg,
Rolling Hills #3,6/8/16,7:55,6,pg,
Rolling Hills #3,6/15/16,7:35,6,pg,
Possession Point,6/12/16,7:43,15,pg,
Possession Point,6/20/16,7:37,10,pg,
Harrington North,6/25/16,800,13,pg,
Harrington North,6/10/16,845,14,pg,
Possession Point,6/26/16,7:37,13,pg,
Bush Point Dock,6/6/16,7:40,2,pg,
Bush Point Dock,6/14/16,7:30,3,pg,
Hastie Lake South,6/28/16,7:30,31,pg,
Cliffside,6/27/16,725,27,pg,
Double Bluff North,6/17/16,8:10,9,pg,
Double Bluff North,6/24/16,8:13,39,pg,
Cliffside,6/7/16,7:55,22,pg,
Double Bluff South,6/8/16,7:20,7,pg,
Pratts Bluff,6/24/16,8:00,24,pg,
Bush Point Dock,6/20/16,8:30,6,pg,
Bush Point Dock,6/27/16,7:35,2,pg,
Lagoon North #0,6/28/16,7:50,51,pg,
Hastie Lake South,6/21/16,7:35,16,pg,
Limpet Lane,6/29/16,732,34,pg,
Maylor Point,6/7/16,8:00,10,pg,
Maylor Point,6/12/16,7:45,10,pg,
Maylor Point,6/19/16,7:25,4,pg,
Maylor Point,6/27/16,7:50,12,pg,
Langley Marina,6/29/16,6:35,1,pg,
Monroe Landing,6/27/16,745,6,pg,
Lake Hancock North,6/28/16,6:50,51,pg,
Lagoon Point South,6/30/16,7:22,33,pg,
Rolling Hills #1,6/28/16,8:09,38,pg,
Mutiny Sands,6/30/16,7:35,24,pg,
Mutiny Sands- INTERN,6/27/16,6:00,36,pg,on
Forbes Point,6/1/16,7:17,12,pg,
Harrington South,6/28/16,815,18,pg,
Coupeville Wharf,6/16/16,7:15,5,pg,
Coupeville Wharf,6/23/16,7:30,6,pg,
Shore Meadows,7/1/16,700,101,pg,
Malmo Bluff,6/30/16,7:45,30,pg,
Libby North/Sierra,7/1/16,6:40,9,pg,
Lagoon North #1,7/1/16,7:00,81,pg,
Harrington North,7/1/16,750,13,pg,
Keystone,7/4/16,8:30,26,pg,
Double Bluff North,7/1/16,8:15,38,pg,
Swantown,7/1/16,8:15,17,pg,
Hastie Lake South,7/5/16,725,12,pg,
Mutiny Sands- INTERN,6/29/16,6:00,33,pg,on
Mutiny Sands- INTERN,7/1/16,6:00,36,pg,on
Pratts Bluff- INTERN,6/24/16,6:00,30,pg,on
Pratts Bluff- INTERN,6/28/16,6:00,31,pg,on
Monroe Landing,7/4/16,640,6,pg,
Cliffside,7/4/16,800,11,pg,
Harrington South,7/5/16,820,16,pg,
Harrington South,6/17/16,820,9,pg,
Swantown,7/6/16,8:30,20,pg,
Fort Casey North,6/25/16,8:30,42,pg,
Fort Casey North,7/2/16,8:30,29,pg,
Limpet Lane,7/6/16,730,34,pg,
Rolling Hills #1,7/5/16,8:09,40,pg,
Clinton Ferry Dock,7/1/16,7:45,3,pg,
Malmo Bluff,7/7/16,7:50,35,pg,
Lagoon North #1,7/7/16,8:05,67,pg,
Lagoon Point South,7/7/16,7:40,31,pg,
Mutiny Sands,7/7/16,7:40,48,pg,
Ledgewood,6/22/16,8:00,37,pg,
Ledgewood,6/30/16,7:45,41,pg,
Forbes Point,7/7/16,7:17,17,pg,
Forbes Point,6/29/16,7:17,12,pg,
Shore Meadows,7/8/16,700,36,pg,
Double Bluff North,7/8/16,8:15,45,pg,
Pratts Bluff- INTERN,6/30/16,6:00,26,pg,on
Pratts Bluff- INTERN,7/4/16,6:00,27,pg,on
Pratts Bluff- INTERN,7/6/16,6:00,31,pg,on
Mutiny Sands- INTERN,7/5/16,6:00,39,pg,on
Keystone,6/27/16,825,21,pg,
Keystone,7/11/16,918,26,pg,
Fort Casey North,7/9/16,8:30,32,pg,
Cliffside,7/11/16,7:45,23,pg,
Hastie Lake South,7/12/16,638,24,pg,
Lake Hancock North,7/12/16,6:50,67,pg,
Harrington South,7/12/16,715,11,pg,
Forbes Point,7/13/16,7:16,5,pg,
Pratts Bluff,7/1/16,7:55,17,pg,
Pratts Bluff,7/8/16,7:55,19,pg,
Rolling Hills #1,7/12/16,8:10,54,pg,
Lagoon Point South,7/14/16,7:45,20,pg,
Double Bluff South,6/15/16,7:15,4,pg,
Langley Marina,7/14/16,6:58,1,pg,
Mutiny Sands,7/14/16,7:40,28,pg,
Double Bluff North,7/15/16,8:14,45,pg,
Shore Meadows,7/15/16,7:00,70,pg,
Monroe Landing,7/12/16,700,7,pg,
Pratts Bluff,7/15/16,7:55,24,pg,
Pratts Bluff- INTERN,7/8/16,6:00,16,pg,on
Pratts Bluff- INTERN,7/12/16,6:00,30,pg,on
Pratts Bluff- INTERN,7/14/16,6:00,23,pg,on
Bush Point Dock,7/7/16,8:30,3,pg,
Bush Point Dock,7/14/16,7:30,2,pg,
Mutiny Sands- INTERN,7/7/16,6:00,43,pg,on
Keystone,7/18/16,830,24,pg,
Lagoon North #1,7/15/16,7:55,67,pg,
Cliffside,7/18/16,800,7,pg,
Harrington South,7/19/16,8:00,8,pg,
Possession Point,7/3/16,7:38,13,pg,
Possession Point,7/10/16,7:38,20,pg,
Possession Point,7/18/16,7:34,14,pg,
Lake Hancock North,7/19/16,7:50,53,pg,
Langley Marina,7/19/16,720,2,pg,
Swantown,7/16/16,8:30,15,pg,
Limpet Lane,7/13/16,715,31,pg,
Limpet Lane,7/20/16,720,25,pg,
Fort Casey North,7/17/16,8:35,26,pg,
Lagoon Point South,7/21/16,7:45,35,pg,
Lagoon North #0,7/18/16,6:55,34,pg,
Bush Point Dock,7/21/16,7:45,4,pg,
Malmo Bluff,7/14/16,7:50,32,pg,
Malmo Bluff,7/21/16,7:50,32,pg,
Rolling Hills #1,7/19/16,8:10,41,pg,
Lagoon North #1,7/21/16,7:55,62,pg,
Shore Meadows,7/22/16,700,62,pg,
Forbes Point,7/21/16,7:17,21,pg,
Harrington North,7/8/16,735,10,pg,
Harrington North,7/15/16,715,16,pg,
Harrington North,7/23/16,850,20,pg,
Ledgewood,7/21/16,8:00,38,pg,
Ledgewood,7/21/16,9:15,38,pg,
Ledgewood,7/7/16,8:00,39,pg,
Ledgewood,7/13/16,7:45,42,pg,
Double Bluff North,7/22/16,8:05,62,pg,
Mutiny Sands- INTERN,7/11/16,6:00,41,pg,on
Maylor Point,7/7/16,8:00,6,pg,
Mutiny Sands- INTERN,7/13/16,6:00,34,pg,on
Maylor Point,7/12/16,8:00,9,pg,
Maylor Point,7/18/16,7:40,14,pg,
Mutiny Sands- INTERN,7/15/16,6:00,26,pg,on
Mutiny Sands- INTERN,7/19/16,6:00,50,pg,on
Swantown,7/21/16,8:15,12,pg,
Monroe Landing,7/23/16,655,7,pg,
Hastie Lake South,7/19/16,7:45,14,pg,
Keystone,7/25/16,611,53,pg,
Lake Hancock North,7/26/16,6:45,85,pg,
