site,date,start_time,end_time,PG_count,nest_count,burrow_visit,sculpin,gunnell,other,Disturbances
Rolling Hills #1,8/27/14,8:10,9:10,2,14,,,,,
Rolling Hills #2,6/17/14,7:40,8:40,52,0,,,,,
Rolling Hills #2,6/23/14,7:05,8:05,28,0,,,,,
Rolling Hills #2,6/30/14,7:50,8:50,56,1,,,1,1,
Rolling Hills #2,7/7/14,8:35,9:25,46,1,,,1,,
Rolling Hills #2,7/14/14,7:40,8:40,49,8,13,2,,,
Rolling Hills #2,7/21/14,8:45,9:45,39,8,,4,,2,Gulls
Rolling Hills #2,7/28/14,7:35,8:35,54,8,2,1,5,,
Rolling Hills #2,8/11/14,7:00,8:00,55,8,9,,2,2,
Rolling Hills #2,8/22/14,7:42,8:42,44,8,,,,,
Rolling Hills #2,8/25/14,6:05,7:05,22,8,,,,,
Rolling Hills #2,9/1/14,7:45,8:45,0,8,,,,,
Rolling Hills #3,6/23/14,8:20,9:45,28,1,,,,1,BE
Rolling Hills #3,6/30/14,8:35,9:50,38,3,,2,2,,
Rolling Hills #3,7/7/14,8:30,9:35,40,3,,1,1,,
Rolling Hills #3,7/15/14,8:45,9:45,60,3,,,,,
Rolling Hills #3,7/21/14,8:01,9:02,25,3,,,,1,
Rolling Hills #3,8/5/14,8:25,9:25,45,3,,,,,
Rolling Hills #3,8/11/14,8:10,9:10,44,3,,,,,
Rolling Hills #3,8/18/14,8:45,9:45,51,3,,,,,
Shore Meadow,6/20/14,7:05,8:05,71,13,26,,,,BE
Shore Meadow,6/29/14,7:15,8:15,64,28,53,,,,
Shore Meadow,7/6/14,7:05,8:05,52,28,13,,,,BE's
Shore Meadow,7/13/14,6:58,7:58,60,30,58,,,,
Shore Meadow,7/20/14,6:55,7:55,92,32,25,,1,1,
Shore Meadow,7/27/14,7:00,8:00,80,32,10,3,,1,BE's
Shore Meadow,8/3/14,7:00,8:00,96,36,43,3,2,2,
Shore Meadow,8/10/14,7:23,8:23,60,37,3,1,2,1,Hawk
Shore Meadow,8/17/14,6:40,7:40,76,37,,1,2,,
Shore Meadow,8/24/14,7:10,8:10,22,37,,,2,,
Shore Meadow,8/31/14,7:05,8:05,1,37,,,1,,
Swantown,6/21/14,8:37,9:37,11,0,,,,,BE's
Swantown,6/26/14,8:30,9:30,8,0,,,,,BE's
Swantown,7/1/14,8:15,9:15,7,3,,,1,4,
Swantown,7/10/14,8:12,9:12,13,4,,,2,1,
Swantown,7/15/14,8:10,9:10,14,4,,,1,,BE
Swantown,7/25/14,8:13,9:13,11,4,,,4,,Crow
Swantown,7/29/14,8:10,9:10,21,4,,,2,2,BE
Swantown,8/7/14,8:05,9:05,3,6,,,1,1,
Swantown,8/12/14,8:35,9:35,15,9,,,1,1,BE
Swantown,8/21/14,8:00,9:00,10,7,,2,3,1,
Swantown,8/26/14,8:10,9:15,5,7,,2,,2,
Swantown,9/5/14,8:10,9:10,0,7,,,,,
