siteName,visitId,ymd,week,internOnly,burrow,prey,visits
Lagoon Point South,100,6/25/15,26,,b.2-A,noprey,1
Lagoon Point South,100,6/25/15,26,,b.2-B,noprey,1
Lagoon Point South,101,7/2/15,27,,b.2-C,sculpin,1
Lagoon Point South,102,7/9/15,28,,b.2-A,noprey,1
Lagoon Point South,102,7/9/15,28,,b.2-B,sculpin,1
Lagoon Point South,102,7/9/15,28,,b.2-C,noprey,1
Lagoon Point South,102,7/9/15,28,,b.2-D,gunnels,1
Lagoon Point South,102,7/9/15,28,,b.3-A,noprey,1
Lagoon Point South,102,7/9/15,28,,b.3-B,noprey,1
Lagoon Point South,102,7/9/15,28,,b.3-C,noprey,2
Lagoon Point South,103,7/16/15,29,,b.1-A,noprey,4
Lagoon Point South,103,7/16/15,29,,b.1-B,noprey,1
Lagoon Point South,103,7/16/15,29,,b.1-C,noprey,1
Lagoon Point South,103,7/16/15,29,,b.1-D,noprey,3
Lagoon Point South,103,7/16/15,29,,b.2-C,noprey,2
Lagoon Point South,103,7/16/15,29,,b.2-D,noprey,4
Lagoon Point South,103,7/16/15,29,,b.2-E,noprey,5
Lagoon Point South,103,7/16/15,29,,b.2-F,noprey,1
Lagoon Point South,103,7/16/15,29,,b.2-G,noprey,2
Lagoon Point South,103,7/16/15,29,,b.2-H,noprey,1
Lagoon Point South,103,7/16/15,29,,b.3-A,noprey,3
Lagoon Point South,103,7/16/15,29,,b.3-B,noprey,6
Lagoon Point South,103,7/16/15,29,,b.3-B,sculpin,1
Lagoon Point South,103,7/16/15,29,,b.3-C,noprey,8
Lagoon Point South,103,7/16/15,29,,b.3-D,noprey,3
Lagoon Point South,103,7/16/15,29,,b.3-E,noprey,1
Lagoon Point South,103,7/16/15,29,,b.3-F,noprey,2
Lagoon Point South,103,7/16/15,29,,b.3-G,noprey,1
Pratts Bluff- INTERN,104,7/17/15,29,on,b.5,noprey,10
Pratts Bluff- INTERN,104,7/17/15,29,on,b.11A,noprey,3
Pratts Bluff- INTERN,104,7/17/15,29,on,b.12A,other,2
Pratts Bluff- INTERN,104,7/17/15,29,on,b.19,noprey,1
Pratts Bluff- INTERN,104,7/17/15,29,on,b.18,noprey,3
Pratts Bluff- INTERN,104,7/17/15,29,on,b.3,noprey,3
Pratts Bluff- INTERN,104,7/17/15,29,on,b.14,noprey,3
Pratts Bluff- INTERN,104,7/17/15,29,on,b.14,gunnels,2
Pratts Bluff- INTERN,104,7/17/15,29,on,b.14,other,2
Pratts Bluff- INTERN,104,7/17/15,29,on,b.4,noprey,4
Pratts Bluff- INTERN,104,7/17/15,29,on,b.17,noprey,4
Pratts Bluff- INTERN,104,7/17/15,29,on,b.17,other,1
Pratts Bluff- INTERN,104,7/17/15,29,on,b.2,noprey,1
Libby North/Sierra,105,7/17/15,29,,b.2,other,1
Pratts Bluff- INTERN,106,6/29/15,27,on,b.13A,noprey,3
Pratts Bluff- INTERN,106,6/29/15,27,on,b.13A,gunnels,1
Pratts Bluff- INTERN,106,6/29/15,27,on,b.13A,other,1
Pratts Bluff- INTERN,106,6/29/15,27,on,b.18,noprey,3
Pratts Bluff- INTERN,106,6/29/15,27,on,b.18,sculpin,1
Pratts Bluff- INTERN,106,6/29/15,27,on,b.18,other,1
Pratts Bluff- INTERN,106,6/29/15,27,on,b.12B,noprey,1
Pratts Bluff- INTERN,106,6/29/15,27,on,b.12B,sculpin,1
Pratts Bluff- INTERN,106,6/29/15,27,on,b.12B,gunnels,2
