region,site,date,intern_data,burrow_name,visit_type,visits
Whidbey,Pratts Bluff,7/25/17,,b.11,noprey,5
Whidbey,Pratts Bluff,7/25/17,,b.20,noprey,3
Whidbey,Pratts Bluff,7/25/17,,b.16,noprey,2
Whidbey,Pratts Bluff,7/25/17,,b.16,sculpin,1
Whidbey,Pratts Bluff,7/25/17,,b.16,gunnels,1
Whidbey,Pratts Bluff,7/25/17,,b.16,other,1
Whidbey,Pratts Bluff,7/25/17,,b.4,gunnels,2
Whidbey,Pratts Bluff,7/25/17,,b.2,noprey,1
Whidbey,Pratts Bluff,7/25/17,,b.14,noprey,1
Whidbey,Pratts Bluff,7/25/17,,b.14,other,2
Whidbey,Pratts Bluff,7/25/17,,b.5,noprey,1
Whidbey,Hastie Lake South,8/1/17,,b.12,sculpin,1
Whidbey,Hastie Lake South,8/1/17,,b.12,other,1
Whidbey,Hastie Lake South,8/1/17,,b.13,other,2
Whidbey,Rolling Hills #1,8/1/17,,b.6a,other,1
Whidbey,Pratts Bluff,7/31/17,,b.16,sculpin,1
Whidbey,Pratts Bluff,7/31/17,,b.20,noprey,1
Whidbey,Pratts Bluff,7/31/17,,b.16a,noprey,1
Whidbey,Harrington South,8/1/17,,b.2,gunnels,2
Whidbey,Hancock Lake,8/1/17,,b.S7,gunnels,1
Whidbey,Hancock Lake,8/1/17,,b.2,noprey,1
Whidbey,Hancock Lake,8/1/17,,b.2,sculpin,3
Whidbey,Hancock Lake,8/1/17,,b.3,sculpin,1
Whidbey,Hancock Lake,8/1/17,,b.10,gunnels,1
Whidbey,Hancock Lake,8/1/17,,b.11,sculpin,1
Whidbey,Hancock Lake,8/1/17,,b.20,noprey,2
Whidbey,Hancock Lake,8/1/17,,b.20,sculpin,1
Whidbey,Rolling Hills #1 -- INTERN,7/26/17,on,b.6a,gunnels,2
Whidbey,Rolling Hills #1 -- INTERN,7/28/17,on,b.6a,gunnels,1
Whidbey,Rolling Hills #1 -- INTERN,7/28/17,on,b.6a,other,1
Whidbey,Rolling Hills #1 -- INTERN,8/1/17,on,b.6a,other,2
Whidbey,Cliffside -- INTERN,7/25/17,on,b.1a,gunnels,3
Whidbey,Cliffside -- INTERN,7/25/17,on,b.1a,other,1
Whidbey,Cliffside -- INTERN,7/25/17,on,b.6,gunnels,3
Whidbey,Cliffside -- INTERN,7/25/17,on,b.6,other,1
Whidbey,Cliffside -- INTERN,7/25/17,on,b.5,gunnels,1
Whidbey,Cliffside -- INTERN,7/25/17,on,b.1,gunnels,5
Whidbey,Cliffside -- INTERN,7/27/17,on,b.1a,gunnels,2
Whidbey,Cliffside -- INTERN,7/27/17,on,b.1a,other,1
Whidbey,Cliffside -- INTERN,7/27/17,on,b.6,gunnels,1
Whidbey,Cliffside -- INTERN,7/27/17,on,b.6,other,2
Whidbey,Cliffside -- INTERN,7/27/17,on,b.1,gunnels,1
Whidbey,Cliffside -- INTERN,7/27/17,on,b.1,other,1
Whidbey,Cliffside -- INTERN,7/31/17,on,b.1a,gunnels,3
Whidbey,Cliffside -- INTERN,7/31/17,on,b.6,gunnels,3
Whidbey,Cliffside -- INTERN,7/31/17,on,b.6,other,1
Whidbey,Cliffside -- INTERN,7/31/17,on,b.5,gunnels,1
Whidbey,Cliffside -- INTERN,7/31/17,on,b.1,gunnels,1
Whidbey,Lagoon South,8/3/17,,b.2A,sculpin,1
Whidbey,Lagoon South,8/3/17,,b.2A,gunnels,1
Whidbey,Lagoon South,8/3/17,,b.3A,gunnels,1
Whidbey,Lagoon South,8/3/17,,b.4G,sculpin,1
Whidbey,Mutiny Sands,8/3/17,,b.22,noprey,1
Whidbey,Mutiny Sands,8/3/17,,b.22,sculpin,2
Whidbey,Mutiny Sands,8/3/17,,b.22,gunnels,1
Whidbey,Mutiny Sands,8/3/17,,b.24,sculpin,1
Whidbey,Mutiny Sands,8/3/17,,b.24,other,1
Whidbey,Swantown,8/2/17,,b.2,other,2
Whidbey,Swantown,8/2/17,,b.3,sculpin,1
Whidbey,Swantown,8/2/17,,b.3,gunnels,4
Whidbey,Limpet Lane,8/4/17,,b.MRT,gunnels,1
Whidbey,Limpet Lane,8/4/17,,b.RT,gunnels,1
Whidbey,Keystone,8/5/17,,b.1,gunnels,1
Whidbey,Keystone,8/5/17,,b.2,gunnels,1
Whidbey,Keystone,8/5/17,,b.2,other,1
Whidbey,Keystone,8/5/17,,b.3,gunnels,1
Whidbey,Keystone,8/5/17,,b.3,other,2
Whidbey,Keystone,8/5/17,,b.4,other,1
Whidbey,Keystone,8/5/17,,b.5,gunnels,1
Whidbey,Keystone,8/5/17,,b.5,other,1
Whidbey,Keystone,8/5/17,,b.6,gunnels,1
Whidbey,Keystone,8/5/17,,b.6,other,1
Whidbey,Keystone,8/5/17,,b.7,gunnels,1
Whidbey,Keystone,8/5/17,,b.8,gunnels,2
Whidbey,Keystone,8/5/17,,b.8,other,1
Whidbey,Forbes Point,8/3/17,,b.4,gunnels,1
Whidbey,Coupeville Wharf,8/6/17,,b.3,gunnels,1
Whidbey,Shore Meadows,8/3/17,,b.17,sculpin,3
Whidbey,Shore Meadows,8/3/17,,b.CV2,other,1
Whidbey,Rolling Hills #3,7/22/17,,b.51,gunnels,1
Whidbey,Rolling Hills #3,7/29/17,,b.51,gunnels,5
Whidbey,Langley Marina,7/11/17,,b.2,noprey,1
Whidbey,Harrington North,7/13/17,,b.7,noprey,1
Whidbey,Harrington North,7/13/17,,b.7,gunnels,1
Whidbey,Harrington North,8/2/17,,b.7,sculpin,1
Whidbey,Harrington North,8/2/17,,b.7,gunnels,2
Whidbey,Swantown,8/7/17,,b.2,gunnels,1
Whidbey,Swantown,8/7/17,,b.3,gunnels,1
Whidbey,Langley Marina,8/8/17,,b.2,noprey,2
Whidbey,Clinton Ferry Dock,8/5/17,,b.2,noprey,4
Whidbey,Clinton Ferry Dock,8/5/17,,b.3,noprey,3
Whidbey,Clinton Ferry Dock,8/5/17,,b.4,noprey,3
Whidbey,Clinton Ferry Dock,8/5/17,,b.6,noprey,14
Whidbey,Malmo Bluff,8/1/17,,b.3,noprey,1
Whidbey,Malmo Bluff,8/1/17,,b.3,sculpin,1
Whidbey,Malmo Bluff,8/1/17,,b.3,gunnels,1
Whidbey,Malmo Bluff,8/1/17,,b.3,other,1
Whidbey,Malmo Bluff,8/1/17,,b.19,sculpin,1
Whidbey,Malmo Bluff,8/1/17,,b.19,gunnels,1
Whidbey,Malmo Bluff,8/1/17,,b.14,sculpin,1
Whidbey,Malmo Bluff,8/1/17,,b.17,other,2
Whidbey,Malmo Bluff,8/1/17,,b.21,noprey,2
Whidbey,Malmo Bluff,8/8/17,,b.2,gunnels,4
Whidbey,Malmo Bluff,8/8/17,,b.1,noprey,1
Whidbey,Malmo Bluff,8/8/17,,b.21,noprey,1
Whidbey,Malmo Bluff,8/8/17,,b.24,noprey,1
Whidbey,Malmo Bluff,8/8/17,,b.17,noprey,1
Whidbey,Malmo Bluff,8/8/17,,b.17,other,2
Whidbey,Malmo Bluff,8/8/17,,b.19,noprey,1
Whidbey,Malmo Bluff,8/8/17,,b.19,gunnels,1
Whidbey,Malmo Bluff,8/8/17,,b.13,noprey,1
Whidbey,Malmo Bluff,8/8/17,,b.14,noprey,1
Whidbey,Cliffside -- INTERN,8/2/17,on,b.1a,gunnels,3
Whidbey,Cliffside -- INTERN,8/2/17,on,b.1,gunnels,2
Whidbey,Cliffside -- INTERN,8/2/17,on,b.5,gunnels,1
Whidbey,Cliffside -- INTERN,8/2/17,on,b.5,other,2
Whidbey,Cliffside -- INTERN,8/2/17,on,b.6,gunnels,1
Whidbey,Cliffside -- INTERN,8/4/17,on,b.6,gunnels,2
Whidbey,Cliffside -- INTERN,8/4/17,on,b.6,other,2
Whidbey,Cliffside -- INTERN,8/4/17,on,b.5,gunnels,2
Whidbey,Cliffside -- INTERN,8/8/17,on,b.5,gunnels,10
Whidbey,Cliffside -- INTERN,8/8/17,on,b.1,other,1
Whidbey,Cliffside -- INTERN,8/8/17,on,b.3,gunnels,3
Whidbey,Cliffside -- INTERN,8/8/17,on,b.6,other,3
Whidbey,Rolling Hills #1 -- INTERN,8/3/17,on,b.6a,gunnels,2
Whidbey,Rolling Hills #1 -- INTERN,8/7/17,on,b.6a,sculpin,1
Whidbey,Rolling Hills #1 -- INTERN,8/7/17,on,b.6a,other,1
Whidbey,Rolling Hills #1 -- INTERN,8/9/17,on,b.6a,sculpin,1
Whidbey,Rolling Hills #1 -- INTERN,8/9/17,on,b.6a,gunnels,1
Whidbey,Rolling Hills #1 -- INTERN,8/1/17,on,b.6a,other,2
Whidbey,Shore Meadows,8/9/17,,b.CV1,sculpin,1
Whidbey,Shore Meadows,8/9/17,,b.CV1,gunnels,1
Whidbey,Shore Meadows,8/9/17,,b.CV2,noprey,1
Whidbey,Shore Meadows,8/9/17,,b.CV2,sculpin,3
