region,site,date,start_time,end_time,PG_count,burrow_count,burrow_visit,intern_data,qaqc,mult_count
Whidbey,Cliffside,6/28/09,8:15,9:15,35,9,,,,
Whidbey,Cliffside,7/6/09,8:30,9:30,10,11,,,,
Whidbey,Cliffside,7/13/09,8:42,9:42,41,13,,,,
Whidbey,Cliffside,7/21/09,8:20,9:20,30,13,,,,
Whidbey,Cliffside,8/5/09,8:25,9:25,18,13,,,,
Whidbey,Cliffside,8/11/09,8:35,9:35,48,13,,,,
Whidbey,Cliffside,8/17/09,8:15,9:15,,,,,,
Whidbey,Cliffside,6/23/08,8:50,9:50,47,3,,,,
Whidbey,Cliffside,6/30/08,8:30,9:30,6,6,,,,
Whidbey,Cliffside,7/7/08,8:36,9:36,41,7,,,,
Whidbey,Cliffside,7/11/08,8:45,9:45,18,11,,,,
Whidbey,Cliffside,7/21/08,8:35,9:35,51,11,,,,
Whidbey,Cliffside,7/28/08,8:35,9:35,6,11,,,,
Whidbey,Cliffside,8/4/08,8:43,9:43,23,,,,,
Whidbey,Cliffside,6/22/15,,,16,2,3,,,
Whidbey,Cliffside,6/29/15,,,9,2,3,,,
Whidbey,Cliffside,7/6/15,,,33,5,9,,,
Whidbey,Cliffside,7/14/15,,,8,2,3,,,
Whidbey,Cliffside,7/20/15,,,27,2,2,,,
Whidbey,Cliffside,7/28/15,,,12,2,3,,,
Whidbey,Cliffside,8/4/15,,,28,0,0,,,
Whidbey,Cliffside,8/10/15,,,14,3,4,,,
Whidbey,Cliffside,8/17/15,,,6,0,0,,,
Whidbey,Cliffside,8/24/15,,,0,0,0,,,
Whidbey,Cliffside,6/7/16,,,22,5,8,,,
Whidbey,Cliffside,6/13/16,,,26,3,3,,,
Whidbey,Cliffside,6/20/16,,,22,4,4,,,
Whidbey,Cliffside,6/27/16,,,27,0,0,,,
Whidbey,Cliffside,7/4/16,,,11,0,0,,,
Whidbey,Cliffside,7/11/16,,,23,7,4,,,
Whidbey,Cliffside,7/18/16,,,7,0,0,,,
Whidbey,Cliffside,7/25/16,,,21,2,4,,,
Whidbey,Cliffside,8/1/16,,,8,1,1,,,
Whidbey,Cliffside,8/8/16,,,18,3,2,,,
Whidbey,Cliffside,8/15/16,,,2,0,0,,,
Whidbey,Cliffside,8/22/16,,,16,0,0,,,
Whidbey,Cliffside,6/13/17,,,15,1,1,,,
Whidbey,Cliffside,6/20/17,,,9,0,0,,,
Whidbey,Cliffside,6/27/17,,,37,2,2,,,
Whidbey,Cliffside,7/4/17,,,22,1,2,,,
Whidbey,Cliffside,7/11/17,,,20,2,2,,,
Whidbey,Cliffside,7/18/17,,,19,2,4,,,
Whidbey,Cliffside,7/25/17,,,22,9,13,,,
Whidbey,Cliffside,8/1/17,,,22,2,3,,,
Whidbey,Cliffside,8/8/17,,,15,3,7,,,
Whidbey,Cliffside,8/16/17,,,15,2,5,,,
Whidbey,Cliffside,8/22/17,,,3,1,1,,,
Whidbey,Cliffside,8/29/17,,,3,1,1,,,
Whidbey,Cliffside,9/5/17,,,0,0,0,,,
Whidbey,Cliffside,9/14/17,,,0,0,0,,,
Whidbey,Clinton Ferry,6/16/16,,,15,1,1,,,
Whidbey,Clinton Ferry,6/17/16,,,6,1,1,,,
Whidbey,Clinton Ferry,6/24/16,,,7,2,4,,,
Whidbey,Clinton Ferry,7/1/16,,,4,0,0,,,
Whidbey,Clinton Ferry,7/8/16,,,15,2,3,,,
Whidbey,Clinton Ferry,7/19/16,,,3,1,4,,,
Whidbey,Clinton Ferry,7/26/16,,,14,4,4,,,
Whidbey,Clinton Ferry,7/29/16,,,6,2,4,,,
Whidbey,Clinton Ferry,8/5/16,,,4,1,2,,,
Whidbey,Clinton Ferry,8/12/16,,,6,2,4,,,
Whidbey,Clinton Ferry,8/22/16,,,2,0,0,,,
Whidbey,Clinton Ferry,8/26/16,,,3,1,1,,,
Whidbey,Clinton Ferry,6/17/17,,,12,4,10,,,
Whidbey,Clinton Ferry,6/25/17,,,11,4,18,,,
Whidbey,Clinton Ferry,7/1/17,,,8,1,4,,,
Whidbey,Clinton Ferry,7/15/17,,,8,4,11,,,
Whidbey,Clinton Ferry,7/22/17,,,7,4,35,,,
Whidbey,Clinton Ferry,7/29/17,,,5,6,24,,,
Whidbey,Clinton Ferry,8/5/17,,,9,4,4,,,
Whidbey,Clinton Ferry,8/13/17,,,14,1,4,,,
Whidbey,Clinton Ferry,8/19/17,,,4,2,14,,,
Whidbey,Coupeville Wharf,6/24/13,7:30,8:30,6,1,1,,,
Whidbey,Coupeville Wharf,7/2/13,8:00,9:00,9,1,,,,
Whidbey,Coupeville Wharf,7/10/13,7:55,8:55,8,4,9,,,
Whidbey,Coupeville Wharf,7/16/13,8:10,9:10,11,4,5,,,
Whidbey,Coupeville Wharf,7/25/13,8:15,9:15,11,4,2,,,
Whidbey,Coupeville Wharf,7/30/13,7:45,8:45,15,4,1,,,
Whidbey,Coupeville Wharf,8/6/13,8:00,9:00,12,4,,,,
Whidbey,Coupeville Wharf,8/12/13,7:45,8:45,10,4,,,,
Whidbey,Coupeville Wharf,8/19/13,7:45,8:45,5,4,,,,
Whidbey,Coupeville Wharf,6/25/15,,,8,0,0,,,
Whidbey,Coupeville Wharf,7/2/15,,,7,0,0,,,
Whidbey,Coupeville Wharf,7/7/15,,,8,0,0,,,
Whidbey,Coupeville Wharf,7/14/15,,,4,0,0,,,
Whidbey,Coupeville Wharf,6/16/16,,,5,0,0,,,
Whidbey,Coupeville Wharf,6/23/16,,,6,0,0,,,
Whidbey,Coupeville Wharf,6/18/17,,,6,0,0,,,
