Site,Date,Count,Count type,Comment,QAQC,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,7/16/2015,14,Start,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,7/16/2015,10,Middle,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,7/16/2015,17,End,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,7/23/2015,7,Start,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,7/23/2015,9,Middle,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,7/23/2015,8,End,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,7/30/2015,6,Start,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,7/30/2015,3,Middle,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,7/30/2015,2,End,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,8/6/2015,3,Start,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,8/6/2015,3,Middle,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,8/6/2015,4,End,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,8/13/2015,2,Start,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,8/13/2015,2,Middle,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,8/13/2015,1,End,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,8/20/2015,2,Start,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,8/20/2015,1,Middle,,,,,,,,,,,,,,,,,,,,,,
Big Fish Trap,8/20/2015,0,End,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,6/8/2015,10,Start,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,6/8/2015,11,Middle,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,6/8/2015,9,End,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,6/15/2015,8,Start,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,6/15/2015,11,Middle,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,6/15/2015,8,End,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,6/29/2015,11,Start,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,6/29/2015,18,Middle,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,6/29/2015,10,End,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,7/13/2015,14,Start,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,7/13/2015,14,Middle,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,7/13/2015,8,End,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,7/20/2018,14,Start,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,7/20/2018,16,Middle,,,,,,,,,,,,,,,,,,,,,,
Butterball South A,7/20/2018,9,End,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,8/3/2015,14,Start,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,8/3/2015,11,Middle,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,8/3/2015,8,End,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,8/10/2015,3,Start,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,8/10/2015,2,Middle,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,8/10/2015,0,End,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,8/17/2015,0,Start,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,8/17/2015,1,Middle,,,,,,,,,,,,,,,,,,,,,,
Burfoot Park,8/17/2015,0,End,,,,,,,,,,,,,,,,,,,,,,
Butterball North,7/31/2015,7,Start,,Y,,,,,,,,,,,,,,,,,,,,
Butterball North,7/31/2015,9,Middle,,Y,,,,,,,,,,,,,,,,,,,,
Butterball North,7/31/2015,2,End,,Y,,,,,,,,,,,,,,,,,,,,
